"project_type","category_sum_bn","pct_No","pct_Yes"
"Hydropower",61.62503376102892,51.85221617876085,48.14778382123915
"Nuclear Power",10.45353322590566,100,0
"Solar Power",4.599618046303956,67.31761659589478,32.68238340410524
"Green Transportation",3.239769101648763,77.70096103831166,22.299038961688346
"Wind Power",3.1026962501844615,75.6375558240868,24.362444175913193
"Other Low-Carbon Energy",1.4135378534350616,33.073598450571886,66.92640154942812
"Geothermal Power",1.3031458391987654,42.49115140064676,57.50884859935324
"Renewable Energy Portfolio",0.395574281874963,100,0
"Clean Energy Manufacturing Facilities",0.2997482812036279,27.282335464782403,72.71766453521758
"Financial Services",0.07531504935050941,0,100
"Mini/micro-grids specifically for renewable energy integration",0.05449248739393381,0,100
"Industrial Efficiency",0.042998522385375,0,100
"Energy Efficiency",0.01610140003262364,66.15667750411481,33.843322495885175
